Sample1,,Sample2,
Temperature (?C),Abs,Temperature (?C),Abs
89.97000122,0.6306849122,90.01999664,0.7099657655
89.47000122,0.6298931241,89.51999664,0.7099809647
88.97000122,0.6304774284,89.01999664,0.7096306682
88.47000122,0.6307328343,88.47000122,0.7099718451
87.97000122,0.6307687163,88.01999664,0.7096102834
87.51999664,0.6308446527,87.51999664,0.7100554705
87.01999664,0.6304935813,87.01999664,0.7103420496
86.47000122,0.6307526827,86.5,0.7100237012
86.01999664,0.6308071613,86.01999664,0.7102165818
85.51999664,0.6307134032,85.51999664,0.7100436687
84.97000122,0.6302787066,85.01999664,0.7094832659
84.47000122,0.6307935715,84.47000122,0.7101855278
83.97000122,0.6305850744,84,0.7097101212
83.47000122,0.6305657029,83.51000214,0.7096009851
82.97000122,0.6304126978,83.01999664,0.709871769
82.47000122,0.6302493215,82.51999664,0.7096492648
82.06999969,0.6305488348,82.06999969,0.7095069289
81.47000122,0.6301101446,81.51999664,0.7095935941
81.01999664,0.6298079491,81,0.7094842792
80.47000122,0.6303437352,80.5,0.7091847062
79.97000122,0.6297762394,80.01999664,0.7092348337
79.47000122,0.6298800111,79.51999664,0.7092151046
78.97000122,0.6298819184,78.97000122,0.708964169
78.47000122,0.6299084425,78.51999664,0.7091792822
77.98000336,0.6300781965,78.01999664,0.7090449929
77.47000122,0.6301480532,77.51000214,0.709196806
76.97000122,0.6295824051,76.98999786,0.7084150314
76.47000122,0.6291592121,76.47000122,0.7083032131
75.97000122,0.6294187307,76.01999664,0.7087709308
75.47000122,0.6293513179,75.51999664,0.7082797885
74.97000122,0.6291688681,75.01999664,0.7081722617
74.51999664,0.628870666,74.51999664,0.7080575228
73.97000122,0.6285620332,73.97000122,0.7076854706
73.47000122,0.6289004087,73.51999664,0.7075763345
72.97000122,0.6285883784,73.01999664,0.7078356743
72.47000122,0.628364265,72.47000122,0.7076230645
71.97000122,0.6284275055,72.01999664,0.7075402737
71.48000336,0.6285265088,71.47000122,0.7073462009
70.97000122,0.6283746958,71.01999664,0.7070207596
70.47000122,0.628075242,70.51999664,0.7072280645
69.97000122,0.6277962923,70.01999664,0.7065937519
69.47000122,0.6276340485,69.47000122,0.706282258
69.01999664,0.6276865005,69,0.7067452669
68.47000122,0.6270760894,68.47000122,0.7065504193
68.06999969,0.6273390651,68.06999969,0.7061723471
67.47000122,0.6272568703,67.51999664,0.7062875032
67.01999664,0.6262950301,67,0.7060422897
66.47000122,0.6265435219,66.51999664,0.7056614757
65.97000122,0.6260909438,65.97000122,0.7053710222
65.47000122,0.6262665987,65.5,0.7048148513
64.97000122,0.6256818175,64.97000122,0.7047296762
64.47000122,0.6260550618,64.51999664,0.7048057318
63.97000122,0.6251856685,63.97000122,0.7045028806
63.52000046,0.6249183416,63.52000046,0.7042508721
62.97000122,0.6250568628,62.97000122,0.7041622996
62.47000122,0.6247351766,62.47000122,0.7037890553
61.97000122,0.6241959333,62.02000046,0.7029839158
61.52000046,0.6234902143,61.52000046,0.7026950717
60.97000122,0.6239014268,61.02000046,0.702702105
60.47000122,0.623262167,60.52000046,0.7021780014
59.97000122,0.6225699186,59.97000122,0.7017381191
59.47000122,0.6215851903,59.47000122,0.7008724213
58.97000122,0.621080637,59.02000046,0.7003186345
58.47000122,0.6199586987,58.47000122,0.6996840835
58.02000046,0.6192884445,58.02000046,0.6983107328
57.47000122,0.6178863049,57.47000122,0.6976642013
57.02000046,0.6165069938,57.02000046,0.6958344579
56.47000122,0.6153360605,56.47000122,0.6947386861
55.97000122,0.6133195758,55.97000122,0.6925976276
55.47000122,0.6110816002,55.47000122,0.6910196543
54.97000122,0.6087476015,55.02000046,0.6889953613
54.52000046,0.6065107584,54.52000046,0.6868240237
54.02000046,0.6040148735,53.97000122,0.684442699
53.47000122,0.6005191803,53.52000046,0.6812620163
52.97999954,0.5973309875,53.02000046,0.6779536009
52.47000122,0.5938413739,52.47000122,0.674711287
51.97000122,0.5904958248,52.02000046,0.6707037091
51.47000122,0.5868322253,51.47000122,0.6677644253
50.97000122,0.5831698179,50.97999954,0.6639788747
50.47999954,0.5791199803,50.52000046,0.6601384878
50.02000046,0.5758603215,50.02000046,0.6565753818
49.47000122,0.5723668933,49.47000122,0.6535173655
48.97000122,0.5688923597,49.02000046,0.6499912739
48.47000122,0.5658119917,48.47000122,0.6464850307
