First,,Second,
Temperature (C),Abs,Temperature (C),Abs
5.570000172,0.5439651012,5.920000076,0.5183307528
6.119999886,0.5447561145,6.320000172,0.5179324746
6.71999979,0.5448199511,6.820000172,0.5182183981
7.21999979,0.5440600514,7.420000076,0.5186379552
7.71999979,0.5439296961,7.920000076,0.5181173682
8.319999695,0.5441384315,8.470000267,0.5182009339
8.869999886,0.5433368087,9.020000458,0.5176229477
9.369999886,0.5440217853,9.569999695,0.5185409188
9.920000076,0.5440567136,10.11999989,0.5180179477
10.47000027,0.5435977578,10.64000034,0.5180386901
11.01000023,0.5436600447,11.17000008,0.5186801553
11.52000046,0.5448014736,11.72000027,0.5179539323
12.11999989,0.5443022847,12.27000046,0.5178976655
12.67000008,0.5449257493,12.86999989,0.5191121697
13.22000027,0.5436838269,13.36999989,0.517901659
13.72000027,0.5445448756,13.92000008,0.5191549063
14.25,0.544901967,14.47000027,0.518935442
14.81999969,0.5442981124,14.97000027,0.519194603
15.31999969,0.5445865989,15.52000046,0.5199030042
15.92000008,0.5444520116,16.06999969,0.5197059512
16.42000008,0.5447663665,16.60000038,0.5194810629
16.96999931,0.545304358,17.17000008,0.5196121335
17.46999931,0.5446032882,17.67000008,0.5195503831
18.06999969,0.5453027487,18.27000046,0.5201069117
18.62000084,0.5452218652,18.77000046,0.5196199417
19.12000084,0.5449215174,19.31999969,0.5199323297
19.68000031,0.5455084443,19.87000084,0.5208716989
20.21999931,0.5450270772,20.37000084,0.520242393
20.77000046,0.5456644893,20.96999931,0.5206273794
21.31999969,0.5451503992,21.46999931,0.5204594731
21.81999969,0.545388341,22.02000046,0.5208671093
22.39999962,0.5459606051,22.56999969,0.521312058
22.92000008,0.5458555818,23.12000084,0.5213098526
23.46999931,0.5465043187,23.62000084,0.5216315985
24.02000046,0.5459564328,24.17000008,0.5214931369
24.56999969,0.5461812615,24.71999931,0.5216518641
25.06999969,0.5466309786,25.27000046,0.5224419832
25.62000084,0.5463497043,25.77000046,0.521918118
26.15999985,0.5474006534,26.31999969,0.5227467418
26.71999931,0.5462120175,26.92000008,0.5210591555
27.27000046,0.5468319654,27.46999931,0.5224112868
27.77000046,0.5463748574,27.96999931,0.5221413374
28.37000084,0.545661211,28.52000046,0.52117908
28.92000008,0.5461835265,29.06999969,0.5216112733
29.46999931,0.5467990637,29.56999969,0.5221937299
29.96999931,0.5470435619,30.12000084,0.5219931602
30.46999931,0.5477010608,30.67000008,0.5230682492
31.06999969,0.5474380851,31.20999908,0.5233617425
31.55999947,0.5476390719,31.71999931,0.5234447122
32.06999969,0.5474280715,32.31999969,0.5236025453
32.66999817,0.5475664735,32.86999893,0.523537159
33.16999817,0.5473075509,33.41999817,0.5241830945
33.72000122,0.5478080511,33.91999817,0.524135828
34.31999969,0.5473873615,34.41999817,0.5241653919
34.86999893,0.5478615761,35.02000046,0.5240862966
35.31999969,0.5480512381,35.56999969,0.5239287019
35.97000122,0.5483394861,36.06999969,0.5238027573
36.47000122,0.5477467775,36.66999817,0.5247225761
36.97000122,0.5479950905,37.22000122,0.524397552
37.52000046,0.5480312705,37.72000122,0.5241702795
38.11999893,0.5481828451,38.31999969,0.5248228312
38.61999893,0.5482344627,38.81999969,0.5251614451
